######################### Start train #########################
Tot_step: 1147644 	 | Episode: 1520 	 | Reward : 2521.1757285414774 	 | actor_loss : -227.81223796603066 	 | critic_loss : 21.2785130778378
Tot_step: 1164790 	 | Episode: 1540 	 | Reward : 2707.1187249551854 	 | actor_loss : -231.95342305563008 	 | critic_loss : 21.60953857457357
Tot_step: 1179641 	 | Episode: 1560 	 | Reward : 2447.991927408477 	 | actor_loss : -235.4034283675191 	 | critic_loss : 21.244377417482774
Tot_step: 1195427 	 | Episode: 1580 	 | Reward : 2494.9965679664806 	 | actor_loss : -238.30639147238176 	 | critic_loss : 22.149087347497325
Tot_step: 1212759 	 | Episode: 1600 	 | Reward : 2922.805156849137 	 | actor_loss : -240.79470229925838 	 | critic_loss : 22.22701033422687
Tot_step: 1230484 	 | Episode: 1620 	 | Reward : 2990.8958499715136 	 | actor_loss : -244.0869103281559 	 | critic_loss : 22.263330353580276
Tot_step: 1247125 	 | Episode: 1640 	 | Reward : 2875.5064204046575 	 | actor_loss : -247.48677883122332 	 | critic_loss : 23.216963714966532
Tot_step: 1264374 	 | Episode: 1660 	 | Reward : 2692.0988106863397 	 | actor_loss : -250.90121027530412 	 | critic_loss : 23.098145373286123
Tot_step: 1278065 	 | Episode: 1680 	 | Reward : 2099.311807704252 	 | actor_loss : -253.22807375267726 	 | critic_loss : 25.671597369732545
Tot_step: 1296079 	 | Episode: 1700 	 | Reward : 3159.2494289509395 	 | actor_loss : -255.25587511002715 	 | critic_loss : 25.011712380341553
Tot_step: 1314493 	 | Episode: 1720 	 | Reward : 3001.2704791994374 	 | actor_loss : -258.1086714922652 	 | critic_loss : 25.314628884880104
Tot_step: 1331791 	 | Episode: 1740 	 | Reward : 3101.477647691475 	 | actor_loss : -259.9959900861669 	 | critic_loss : 25.207476717726244
Tot_step: 1348778 	 | Episode: 1760 	 | Reward : 2946.296617680947 	 | actor_loss : -262.6025368416085 	 | critic_loss : 25.32916117618446
Tot_step: 1365769 	 | Episode: 1780 	 | Reward : 3037.2577032873364 	 | actor_loss : -264.29390742887983 	 | critic_loss : 26.93560995812512
Tot_step: 1382220 	 | Episode: 1800 	 | Reward : 2908.263822743032 	 | actor_loss : -266.3502951047639 	 | critic_loss : 26.904777883809412
Tot_step: 1399689 	 | Episode: 1820 	 | Reward : 3270.234813916668 	 | actor_loss : -268.29214397965916 	 | critic_loss : 27.53415593872266
Tot_step: 1418310 	 | Episode: 1840 	 | Reward : 3412.297813158036 	 | actor_loss : -271.7667676463231 	 | critic_loss : 28.029291375205066
